word sentid sentpos wlen surp entropy entred
the 12 12 3 2.1066102981567383 9.3041353225708 1.0720653533935547
<unk> 12 13 5 5.0916972160339355 11.678801536560059 0
with 12 14 4 7.103691101074219 8.928582191467285 2.7502193450927734
its 12 15 3 6.89057731628418 8.901183128356934 0.027399063110351562
deadly 12 16 6 16.087297439575195 12.004657745361328 0
<unk> 12 17 5 5.269803524017334 8.69965934753418 3.3049983978271484
and 12 18 3 4.183700084686279 7.945179462432861 0.7544798851013184
face 12 19 4 12.625521659851074 11.01436996459961 0
like 12 20 4 10.367531776428223 8.402379989624023 2.611989974975586
thunder 12 21 7 17.316953659057617 9.880855560302734 0
soon 12 22 4 12.996611595153809 8.020146369934082 1.8607091903686523
put 12 23 3 10.176097869873047 10.027202606201172 0
an 12 24 2 7.943837642669678 9.835588455200195 0.19161415100097656
end 12 25 3 9.335954666137695 12.039743423461914 0
to 12 26 2 4.997745513916016 7.849844455718994 4.18989896774292
their 12 27 5 7.04603910446167 9.579586029052734 0
ambitions 12 28 9 16.38841438293457 12.140460014343262 0
. 12 29 1 2.24715256690979 7.137491226196289 5.002968788146973
However 13 0 7 9.476414680480957 11.105671882629395 0
, 13 1 1 0.04355484992265701 0.35620301961898804 10.749468863010406
there 13 2 5 8.499552726745605 9.370996475219727 0
was 13 3 3 3.9669811725616455 9.596792221069336 0
one 13 4 3 7.425695419311523 10.02706527709961 0
<unk> 13 5 5 7.108913898468018 8.891526222229004 1.1355390548706055
, 13 6 1 3.131685733795166 8.708378791809082 0.18314743041992188
who 13 7 3 6.330997943878174 9.19464111328125 0
was 13 8 3 2.615200996398926 7.9745354652404785 1.2201056480407715
still 13 9 5 8.897063255310059 9.995668411254883 0
wet 13 10 3 19.488008499145508 9.66495418548584 0.33071422576904297
behind 13 11 6 12.83613395690918 8.376631736755371 1.2883224487304688
the 13 12 3 4.581851959228516 9.19658088684082 0
ears 13 13 4 15.029476165771484 11.717117309570312 0
, 13 14 1 3.5951294898986816 8.683663368225098 3.033453941345215
who 13 15 3 6.370447635650635 9.309972763061523 0
decided 13 16 7 8.909661293029785 8.023642539978027 1.286330223083496
the 13 17 3 3.148733615875244 9.690997123718262 0
prize 13 18 5 14.061856269836426 11.725296020507812 0
was 13 19 3 6.051731586456299 8.462085723876953 3.2632102966308594
worth 13 20 5 13.141280174255371 10.08548355102539 0
a 13 21 1 6.7685065269470215 6.974880218505859 3.1106033325195312
shot 13 22 4 11.312469482421875 11.721993446350098 0
, 13 23 1 4.5698699951171875 10.273569107055664 1.4484243392944336
in 13 24 2 5.449426174163818 9.161885261535645 1.1116838455200195
spite 13 25 5 13.458795547485352 9.440677642822266 0
of 13 26 2 4.2063374519348145 7.88618803024292 1.5544896125793457
the 13 27 3 1.8540537357330322 8.630146980285645 0
<unk> 13 28 5 5.035867214202881 11.673626899719238 0
's 13 29 2 5.681344032287598 7.882650852203369 3.790976047515869
reputation 13 30 10 10.740665435791016 11.973780632019043 0
. 13 31 1 2.8535149097442627 7.854813575744629 4.118967056274414
The 14 0 3 5.230095386505127 11.105671882629395 0
<unk> 14 1 5 4.016648292541504 11.676591873168945 0
discovered 14 2 10 13.163177490234375 9.458765983581543 2.2178258895874023
the 14 3 3 5.049135684967041 9.947361946105957 0
<unk> 14 4 5 5.333580493927002 11.489723205566406 0
preferred 14 5 9 16.10638999938965 8.946609497070312 2.5431137084960938
to 14 6 2 4.148830890655518 9.42143726348877 0
come 14 7 4 9.56308650970459 9.713555335998535 0
out 14 8 3 8.57021427154541 9.141031265258789 0.5725240707397461
in 14 9 2 4.349815368652344 8.196717262268066 0.9443140029907227
the 14 10 3 1.9565893411636353 8.980629920959473 0
middle 14 11 6 10.248319625854492 11.677786827087402 0
of 14 12 2 2.841331958770752 7.8531880378723145 3.824598789215088
the 14 13 3 2.1101746559143066 9.394731521606445 0
day 14 14 3 9.256209373474121 11.647354125976562 0
. 14 15 1 2.910775661468506 7.74153470993042 3.9058194160461426
So 15 0 2 12.089110374450684 11.105671882629395 0
he 15 1 2 8.233377456665039 9.936084747314453 1.1695871353149414
went 15 2 4 8.095303535461426 8.057493209838867 1.878591537475586
to 15 3 2 3.991589069366455 9.110427856445312 0
the 15 4 3 2.7203924655914307 9.70413589477539 0
wood 15 5 4 13.597270011901855 11.80776309967041 0
by 15 6 2 7.786480903625488 8.417495727539062 3.3902673721313477
the 15 7 3 2.101346492767334 9.366641998291016 0
well 15 8 4 11.75496768951416 11.73662281036377 0
with 15 9 4 7.569259166717529 10.412632942199707 1.3239898681640625
his 15 10 3 5.621084690093994 9.39727783203125 1.015355110168457
good 15 11 4 10.48349666595459 11.894373893737793 0
bow 15 12 3 15.667190551757812 9.787897109985352 2.1064767837524414
, 15 13 1 3.021914482116699 8.049060821533203 1.7388362884521484
to 15 14 2 6.490915298461914 9.42556381225586 0
<unk> 15 15 5 5.532158374786377 9.877365112304688 0
