,Filename,Segmentlabel,TargetMax,TargetMin,TargetPitch,TargetDifference,Intensity,Duration,Onset,
51,1,INTO/1.51,161.3068624,140.518746,156.211207,20.78811647,66.19654548,0.222648241,14.02735176,NA
52,1,MONEY/1.52,148.6071987,105.057927,128.4248045,43.54927169,66.06443585,0.35,14.25,NA
53,1,FOR/1.53,127.7111777,96.14184279,118.4913791,31.56933489,64.28932395,0.21,14.6,NA
54,1,THE/1.54,135.5458403,115.9598683,122.8566221,19.58597206,65.81926278,0.12,14.81,NA
55,1,LONG/1.55.1,139.7819575,115.724697,130.5161695,24.05726054,68.55617894,0.42,14.93,NA
56,1,BEARDED/1.55.3,146.6327937,122.8645366,133.4460633,23.76825714,68.63265883,0.447715563,15.35,NA
57,1,MILL/1.56,134.8870858,93.37772166,119.5378109,41.50936412,66.13307412,0.331367258,15.93008364,NA
58,1,OWNERS/1.57.word,103.7212522,96.39174215,100.286031,7.32951003,54.68953743,0.464569572,16.26145089,NA
59,1,THAT/1.58,163.9054276,155.9525943,159.8468197,7.952833305,75.26059533,0.140022474,17.42997753,NA
60,1,ALL/1.59,217.4155557,162.9521171,196.3456341,54.46343868,75.74197434,0.25,17.57,NA
61,1,MILL/1.60,216.451072,192.0242523,203.3588077,24.42681973,73.56318098,0.24,17.82,NA
62,1,OWNERS/1.61,199.1888962,129.0921199,151.3763067,70.09677624,70.38228048,0.33,18.06,NA
63,1,WERE/1.62,142.4736076,129.7232463,137.5654816,12.75036136,69.88792738,0.059976878,18.44002312,NA
64,1,GENERALLY/1.63,166.4762679,123.5697892,149.7618598,42.9064787,69.49082453,0.43,18.5,NA
65,1,BUSY/1.64,167.5469322,126.8886639,155.414055,40.6582683,70.48382223,0.359999,18.93,NA
66,1,AS/1.65,147.9794083,129.2901551,139.3462932,18.68925314,68.11697577,0.130001,19.289999,NA
67,1,BEAVERS/1.66,166.5741723,113.2631328,138.8552163,53.31103953,68.6701508,0.396714387,19.50328561,NA
68,1,AND/1.67,139.6082252,119.1078284,127.1432207,20.50039676,64.32748477,0.139999,19.9,NA
69,1,QUITE/1.68,153.0638563,146.6085897,150.5701641,6.455266678,69.11829752,0.290001,20.039999,NA
70,1,PLEASED/1.69,165.9280511,147.9914163,155.7560503,17.93663474,69.08679335,0.35,20.33,NA
